,Unnamed: 0,Seat,Constituency_title,Candidate_Name,Party,Votes,Total_Valid_Votes,Total_Rejected_Votes,Total_Votes,Total_Registered_Voters,Turnout,Election
0,0,Peshawar-I,NA-1,Muhammad Yousaf Khattak,PML (Q),44507,79847,2688,82535,150063,0.55,1977
1,1,Peshawar-I,NA-1,Air Marshal (Retd) Asghar Khan,PNA,33964,79847,2688,82535,150063,0.55,1977
2,2,Peshawar-I,NA-1,Jan Akbar,IND,1376,79847,2688,82535,150063,0.55,1977
3,3,Peshawar-II,NA-2,Arbab Mohammad Jehandir Khan,PPPP,32247,65825,2155,67980,129733,0.524,1977
4,4,Peshawar-II,NA-2,Arbab Saif-ur-Rahman,PNA,30268,65825,2155,67980,129733,0.524,1977
5,5,Peshawar-II,NA-2,M. Nazirullah,PML (Q),2034,65825,2155,67980,129733,0.524,1977
6,6,Peshawar-II,NA-2,Sqr. Leader (R) Qazi Shah Jehan,IND,674,65825,2155,67980,129733,0.524,1977
7,7,Peshawar-II,NA-2,M. Aslam Khan,IND,602,65825,2155,67980,129733,0.524,1977
8,8,Peshawar-III,NA-3,Aftab Ahmed Khan,PPPP,40917,75728,2546,78274,135188,0.579,1977
9,9,Peshawar-III,NA-3,Sardar Sherbaz Khan Mazari,PNA,32216,75728,2546,78274,135188,0.579,1977
10,10,Peshawar-III,NA-3,Saif-ur-Rahman,IND,2595,75728,2546,78274,135188,0.579,1977
11,11,Peshawar-IV,NA-4,Begum Naseem Wali Khan,PNA,47832,77170,2271,79441,136262,0.583,1977
12,12,Peshawar-IV,NA-4,Abdur Rahman Khan,PPPP,25939,77170,2271,79441,136262,0.583,1977
13,13,Peshawar-IV,NA-4,Said Karim Alias Karimi,IND,1177,77170,2271,79441,136262,0.583,1977
14,14,Peshawar-IV,NA-4,Abdul Hanan,IND,2222,77170,2271,79441,136262,0.583,1977
15,15,Peshawar-V,NA-5,Maulana Abdul Haq,PNA,47275,79413,2583,81996,146946,0.558,1977
16,16,Peshawar-V,NA-5,Nasrullah Khan Khattak,PPPP,32138,79413,2583,81996,146946,0.558,1977
17,17,Mardan-I,NA-6,Khan Mir Afzal Khan,PPPP,41745,74129,2403,76532,118105,0.648,1977
18,18,Mardan-I,NA-6,Dilbar Khan,PNA,30463,74129,2403,76532,118105,0.648,1977
19,19,Mardan-I,NA-6,Pir Abdul Sattar,PML (Q),1921,74129,2403,76532,118105,0.648,1977
20,20,Mardan-II,NA-7,Mohammad Yousuf Khan,PNA,31968,65831,2135,67966,124479,0.546,1977
21,21,Mardan-II,NA-7,Sarfraz Khan,PPPP,30667,65831,2135,67966,124479,0.546,1977
22,22,Mardan-II,NA-7,M. Amin Khan,IND,3196,65831,2135,67966,124479,0.546,1977
23,23,Mardan-III,NA-8,Begum Naseem Wali Khan,PNA,36585,64976,2170,67146,97881,0.686,1977
24,24,Mardan-III,NA-8,Abdul Sattar Khan,PPPP,21031,64976,2170,67146,97881,0.686,1977
25,25,Mardan-III,NA-8,Saif-ur-Rahman,PML (Q),7360,64976,2170,67146,97881,0.686,1977
26,26,Mardan-IV,NA-9,Ali Gohar Khan,PNA,33590,59345,1958,61303,110059,0.557,1977
27,27,Mardan-IV,NA-9,Haji Abdul Mustaan,PPPP,18004,59345,1958,61303,110059,0.557,1977
28,28,Mardan-IV,NA-9,M. Zaman,PML (Q),7751,59345,1958,61303,110059,0.557,1977
29,29,Mardan-IV,NA-9,Ali Akbar,IND,,59345,1958,61303,110059,0.557,1977
30,30,Kohat-I,NA-10,Maulana Habib Gul,PNA,29491,59425,1979,61404,150869,0.407,1977
31,31,Kohat-I,NA-10,Syed Hassan Jan,PPPP,16298,59425,1979,61404,150869,0.407,1977
32,32,Kohat-I,NA-10,Nawabzada Azmat Ali Khan,IND,13636,59425,1979,61404,150869,0.407,1977
33,33,Kohat-I,NA-10,Gul Zaman,IND,,59425,1979,61404,150869,0.407,1977
34,34,Kohat-II,NA-11,Molvi Naimatullah,PNA,25432,49051,1558,50609,142962,0.354,1977
35,35,Kohat-II,NA-11,M. Aslam Khan Khattak,PPPP,14819,49051,1558,50609,142962,0.354,1977
36,36,Kohat-II,NA-11,M. Yousaf Khan,PML (Q),8800,49051,1558,50609,142962,0.354,1977
37,37,Abbottabad-I,NA-12,Mohammad Iqbal Khan Jadoon,PPPP,32136,70790,2387,73177,158736,0.461,1977
38,38,Abbottabad-I,NA-12,Air Marshal (R) Asghar Khan,PNA,26954,70790,2387,73177,158736,0.461,1977
39,39,Abbottabad-I,NA-12,Abdul Qayoom Khan,PML (Q),11520,70790,2387,73177,158736,0.461,1977
40,40,Abbottabad-I,NA-12,Malik Abdul Aziz,IND,180,70790,2387,73177,158736,0.461,1977
41,41,Abbottabad-II,NA-13,Air Marshal (Retd) Asghar Khan,PNA,35667,61156,27458,88614,161117,0.55,1977
42,42,Abbottabad-II,NA-13,Sardar M. Fazle Raziq Khan,PPPP,17111,61156,27458,88614,161117,0.55,1977
43,43,Abbottabad-II,NA-13,Sardar Inayat-ur-Rahman Abbasi,PML (Q),8378,61156,27458,88614,161117,0.55,1977
44,44,Abbottabad-II,NA-13,Sardar Mumtaz Alam,IND,,61156,27458,88614,161117,0.55,1977
45,45,Abbottabad-II,NA-13,M. Azam Khan,IND,,61156,27458,88614,161117,0.55,1977
46,46,Abbottabad-III,NA-14,Goher Ayub Khan,PNNA,39992,78228,2514,80742,154679,0.522,1977
47,47,Abbottabad-III,NA-14,Akhtar Nawaz Khan,PPPP,33456,78228,2514,80742,154679,0.522,1977
48,48,Abbottabad-III,NA-14,Fida M. Khan,IND,2380,78228,2514,80742,154679,0.522,1977
49,49,Abbottabad-III,NA-14,M. Hayat Khan,PML (Q),2250,78228,2514,80742,154679,0.522,1977
50,50,Abbottabad-III,NA-14,Molana Nisar Ahmad,IND,150,78228,2514,80742,154679,0.522,1977
51,51,Mansehra-I,NA-15,Mohammad Haneef Khan,PPPP,27589,64244,2060,66304,191631,0.346,1977
52,52,Mansehra-I,NA-15,Shaukat Ali Khan,PNA,20743,64244,2060,66304,191631,0.346,1977
53,53,Mansehra-I,NA-15,M. Akbar Khan,PML (Q),15328,64244,2060,66304,191631,0.346,1977
54,54,Mansehra-I,NA-15,Sardar Abdur Rahman,IND,584,64244,2060,66304,191631,0.346,1977
55,55,Mansehra-I,NA-15,Sardar M. Ayub,IND,,64244,2060,66304,191631,0.346,1977
56,56,Mansehra-II,NA-16,Fakhruz Zaman Khan,PNA,20459,,,,113291,,1977
57,57,Mansehra-II,NA-16,Molana Abdul Hakim,PPPP,9124,,,,113291,,1977
58,58,Mansehra-II,NA-16,Bakhtiar Khan,IND,,,,,113291,,1977
59,59,Mansehra-II,NA-16,Dr. Dilawar Khan,PML (Q),,,,,113291,,1977
60,60,Mansehra-II,NA-16,Syed Chiraghuddin Shah,IND,,,,,113291,,1977
61,61,Mansehra-II,NA-16,Sahabzada Abdul Matin,IND,,,,,113291,,1977
62,62,Mansehra-II,NA-16,Alamzeb khan,IND,,,,,113291,,1977
63,63,Mansehra-II,NA-16,M. Yousaf,IND,,,,,113291,,1977
64,64,Mansehra-cum-Kohistan,NA-17,Haji Faqeer Mohammad Khan,PNA,14190,,,,147147,,1977
65,65,Mansehra-cum-Kohistan,NA-17,M. Ayub Khan,PPPP,9538,,,,147147,,1977
66,66,Mansehra-cum-Kohistan,NA-17,Islam Khan,PML (Q),,,,,147147,,1977
67,67,Mansehra-cum-Kohistan,NA-17,Khanzada,IND,,,,,147147,,1977
68,68,Mansehra-cum-Kohistan,NA-17,Syed Chiraghuddin Shah,IND,,,,,147147,,1977
69,69,Mansehra-cum-Kohistan,NA-17,Masoom Khan,IND,,,,,147147,,1977
70,70,Mansehra-cum-Kohistan,NA-17,Malik M. Miskeen,IND,,,,,147147,,1977
71,71,Mansehra-cum-Kohistan,NA-17,Molana Abdul Baqi,JUI (H),,,,,147147,,1977
72,72,D.I.-Khan,NA-18,Maulana Mufti Mahmood,PNA,66958,130739,4311,135050,247798,0.545,1977
73,73,D.I.-Khan,NA-18,Gulzar Ahmad Khan,PPPP,63781,130739,4311,135050,247798,0.545,1977
74,74,D.I.-Khan,NA-18,Rashid Ahmad Khan,IND,,130739,4311,135050,247798,0.545,1977
75,75,Bannu-I,NA-19,Maulana Sadrushaheed,PNA,30052,53471,1754,55225,104395,0.529,1977
76,76,Bannu-I,NA-19,M. Umar Jan Khan,PPPP,13483,53471,1754,55225,104395,0.529,1977
77,77,Bannu-I,NA-19,Abdus Samad Khan,IND,3688,53471,1754,55225,104395,0.529,1977
78,78,Bannu-I,NA-19,Molvi Sahib Hazrat Ali,IND,3163,53471,1754,55225,104395,0.529,1977
79,79,Bannu-I,NA-19,Zar Ali Shah,PML (Q),1566,53471,1754,55225,104395,0.529,1977
80,80,Bannu-I,NA-19,Madaraz Khan,IND,1519,53471,1754,55225,104395,0.529,1977
81,81,Bannu-I,NA-19,M. Akbar Shah,IND,,53471,1754,55225,104395,0.529,1977
82,82,Bannu-I,NA-19,Khaliq Dad Khan,IND,,53471,1754,55225,104395,0.529,1977
83,83,Bannu-II,NA-20,Ahmed Jan,PNA,33826,69845,2287,72132,124365,0.58,1977
84,84,Bannu-II,NA-20,Anwar Kamal Khan,PPPP,24062,69845,2287,72132,124365,0.58,1977
85,85,Bannu-II,NA-20,Latif Khan,IND,11957,69845,2287,72132,124365,0.58,1977
86,86,Swat-I,NA-21,Miangul Amirzeb,PPPP,23356,57364,1940,59304,130915,0.453,1977
87,87,Swat-I,NA-21,Karim Bakhsh,PNA,20894,57364,1940,59304,130915,0.453,1977
88,88,Swat-I,NA-21,Mian Gul Aurangzeb,PML (Q),13114,57364,1940,59304,130915,0.453,1977
89,89,Swat-II,NA-22,Haji Fazl-e-Raziq,PNA,30140,,,,155294,,1977
90,90,Swat-II,NA-22,Rahimzada,PPPP,16000,,,,155294,,1977
91,91,Swat-II,NA-22,Rahim Shah,PML (Q),,,,,155294,,1977
92,92,Swat-II,NA-22,Zarin,IND,,,,,155294,,1977
93,93,Swat-III,NA-23,Fateh Mohammad Khan,PPPP,27191,56156,1924,58080,148543,0.391,1977
94,94,Swat-III,NA-23,Molvi Abdur Rahman,PNA,21477,56156,1924,58080,148543,0.391,1977
95,95,Swat-III,NA-23,Ahmad Jan,PML (Q),5584,56156,1924,58080,148543,0.391,1977
96,96,Swat-III,NA-23,Sultan Khan,IND,375,56156,1924,58080,148543,0.391,1977
97,97,Swat-III,NA-23,M. Asfandyar,JUI (H),549,56156,1924,58080,148543,0.391,1977
98,98,Swat-III,NA-23,Muzaffar Syed,IND,524,56156,1924,58080,148543,0.391,1977
99,99,Swat-III,NA-23,Molvi Inayatullah,IND,253,56156,1924,58080,148543,0.391,1977
100,100,Swat-III,NA-23,Habibullah Khan,IND,203,56156,1924,58080,148543,0.391,1977
101,101,Chitral-cum-Swat-cum-Dir,NA-24,Moulvi Mohammad Wali Khan,PPPP,21518,,,,129891,,1977
102,102,Chitral-cum-Swat-cum-Dir,NA-24,Abdur Rahman,PNA,18379,,,,129891,,1977
103,103,Chitral-cum-Swat-cum-Dir,NA-24,Afzal Ali,IND,,,,,129891,,1977
104,104,Chitral-cum-Swat-cum-Dir,NA-24,Burhanuddin Khan,IND,,,,,129891,,1977
105,105,Chitral-cum-Swat-cum-Dir,NA-24,Saifullah Jan,IND,,,,,129891,,1977
106,106,Chitral-cum-Swat-cum-Dir,NA-24,M. Ajmal Khan,IND,,,,,129891,,1977
107,107,Malakand-Protected-Area-cum-Dir,NA-25,Gauhar Rehman,PNA,31292,64302,2094,66396,166405,0.399,1977
108,108,Malakand-Protected-Area-cum-Dir,NA-25,Lal M. Khan,PPPP,24100,64302,2094,66396,166405,0.399,1977
109,109,Malakand-Protected-Area-cum-Dir,NA-25,M. Qasim,IND,5112,64302,2094,66396,166405,0.399,1977
110,110,Malakand-Protected-Area-cum-Dir,NA-25,Abdul Wahid,PML (Q),2239,64302,2094,66396,166405,0.399,1977
111,111,Malakand-Protected-Area-cum-Dir,NA-25,Zarin Khan,IND,1115,64302,2094,66396,166405,0.399,1977
112,112,Malakand-Protected-Area-cum-Dir,NA-25,Mian Zarif Shah,IND,299,64302,2094,66396,166405,0.399,1977
113,113,Dir,NA-26,Sahibzada Saifullah,PNA,32205,48603,1606,50209,151689,0.331,1977
114,114,Dir,NA-26,M. Shah Khan Khesro,PPPP,16398,48603,1606,50209,151689,0.331,1977
115,115,Tribal-Area-I,NA-27,Haji Baroz Khan,IND,1961,,,,6098,,1977
116,116,Tribal-Area-I,NA-27,Akbar Khan,IND,1263,,,,6098,,1977
117,117,Tribal-Area-I,NA-27,Khanzada,IND,859,,,,6098,,1977
118,118,Tribal-Area-I,NA-27,Sahabzada Abdul Malik,IND,805,,,,6098,,1977
119,119,Tribal-Area-I,NA-27,M. Afzal,IND,163,,,,6098,,1977
120,120,Tribal-Area-I,NA-27,Nadir Khan,IND,36,,,,6098,,1977
121,121,Tribal-Area-II,NA-28,Baz Gul,IND,675,,,,1352,,1977
122,122,Tribal-Area-II,NA-28,Noor Ahmad,IND,624,,,,1352,,1977
123,123,Tribal-Area-II,NA-28,Akbar Khan,IND,,,,,1352,,1977
124,124,Tribal-Area-II,NA-28,Hussain Jan,IND,,,,,1352,,1977
125,125,Tribal-Area-II,NA-28,Zaman Khan,IND,,,,,1352,,1977
126,126,Tribal-Area-II,NA-28,M. Saeed,IND,,,,,1352,,1977
127,127,Tribal-Area-II,NA-28,Sarwar Jan,IND,,,,,1352,,1977
128,128,Tribal-Area-II,NA-28,Gulab Hussain,IND,,,,,1352,,1977
129,129,Tribal-Area-II,NA-28,Lal Baz,IND,,,,,1352,,1977
130,130,Tribal-Area-II,NA-28,M. Ali,IND,,,,,1352,,1977
131,131,Tribal-Area-II,NA-28,Mohsin Ali,IND,,,,,1352,,1977
132,132,Tribal-Area-II,NA-28,Noor Muhammad,IND,,,,,1352,,1977
133,133,Tribal-Area-III,NA-29,Samsul Haq,IND,2428,,,,4514,,1977
134,134,Tribal-Area-III,NA-29,Molvi Said Almer,IND,,,,,,,1977
135,135,Tribal-Area-III,NA-29,Sarwar Gul,IND,,,,,,,1977
136,136,Tribal-Area-III,NA-29,Haji Khail Shah,IND,,,,,,,1977
137,137,Tribal-Area-III,NA-29,Syed Ibrahim,IND,,,,,,,1977
138,138,Tribal-Area-III,NA-29,Syed Ali Badshah,IND,,,,,,,1977
139,139,Tribal-Area-III,NA-29,Subedar Asghar Ali,IND,,,,,,,1977
140,140,Tribal-Area-III,NA-29,Abdul Latif,IND,,,,,,,1977
141,141,Tribal-Area-III,NA-29,Maj. Gen. (R) Jamaldar Khan Maj. (R) Habibullah,IND,,,,,,,1977
142,142,Tribal-Area-III,NA-29,Nooran Baz Noor Said Mian,IND,,,,,,,1977
143,143,Tribal-Area-IV,NA-30,Sardar Habibullah Khan,IND,505,,,,1369,,1977
144,144,Tribal-Area-IV,NA-30,Sultan Mahmood,IND,439,,,,1369,,1977
145,145,Tribal-Area-IV,NA-30,Atlas Khan,IND,,,,,1369,,1977
146,146,Tribal-Area-IV,NA-30,Akbar Khan,IND,,,,,1369,,1977
147,147,Tribal-Area-IV,NA-30,Akbar Zaman,IND,,,,,1369,,1977
148,148,Tribal-Area-IV,NA-30,Jehangir Khan,IND,,,,,1369,,1977
149,149,Tribal-Area-IV,NA-30,Haji Gumire,IND,,,,,1369,,1977
150,150,Tribal-Area-IV,NA-30,Hassan Khan,IND,,,,,1369,,1977
151,151,Tribal-Area-IV,NA-30,Khan Dan,IND,,,,,1369,,1977
152,152,Tribal-Area-IV,NA-30,Islamiakhel,IND,,,,,1369,,1977
153,153,Tribal-Area-IV,NA-30,Darya Khan,IND,,,,,1369,,1977
154,154,Tribal-Area-IV,NA-30,Saadullah Khan,IND,,,,,1369,,1977
155,155,Tribal-Area-IV,NA-30,Shah Mahmood,IND,,,,,1369,,1977
156,156,Tribal-Area-IV,NA-30,Sher Aub,IND,,,,,1369,,1977
157,157,Tribal-Area-IV,NA-30,Sher Bahadar Khan,IND,,,,,1369,,1977
158,158,Tribal-Area-IV,NA-30,Sher M. Khan,IND,,,,,1369,,1977
159,159,Tribal-Area-IV,NA-30,Aslam Gul,IND,,,,,1369,,1977
160,160,Tribal-Area-IV,NA-30,Ali Akbar,IND,,,,,1369,,1977
161,161,Tribal-Area-IV,NA-30,Kajir,IND,,,,,1369,,1977
162,162,Tribal-Area-IV,NA-30,Gulabat Khan,IND,,,,,1369,,1977
163,163,Tribal-Area-IV,NA-30,Gul Janan,IND,,,,,1369,,1977
164,164,Tribal-Area-IV,NA-30,Gul Rafi Gul Qayoom,IND,,,,,1369,,1977
165,165,Tribal-Area-IV,NA-30,M. Yaqub Khan,IND,,,,,1369,,1977
166,166,Tribal-Area-IV,NA-30,Madda Khan,IND,,,,,1369,,1977
167,167,Tribal-Area-IV,NA-30,Noor Baqi Jan,IND,,,,,1369,,1977
168,168,Tribal-Area-V,NA-31,Said Khan,IND,450,,,,1055,,1977
169,169,Tribal-Area-V,NA-31,Sahib Jan,IND,291,,,,1055,,1977
170,170,Tribal-Area-V,NA-31,Bazeed,IND,,,,,1055,,1977
171,171,Tribal-Area-V,NA-31,Gaideen Khan,IND,,,,,1055,,1977
172,172,Tribal-Area-V,NA-31,M. Hashim Khan,IND,,,,,1055,,1977
173,173,Tribal-Area-VI,NA-32,Abdus Subhan Khan,IND,2585,,,,4917,,1977
174,174,Tribal-Area-VI,NA-32,M. Din Sahabzada,IND,1563,,,,4917,,1977
175,175,Tribal-Area-VI,NA-32,Aman Khan Pacha,IND,,,,,4917,,1977
176,176,Tribal-Area-VI,NA-32,Shatar Khan,IND,,,,,4917,,1977
177,177,Tribal-Area-VI,NA-32,Sher Bahadur Khan,IND,,,,,4917,,1977
178,178,Tribal-Area-VI,NA-32,Ali Khan,IND,,,,,4917,,1977
179,179,Tribal-Area-VI,NA-32,Gulzar,IND,,,,,4917,,1977
180,180,Tribal-Area-VI,NA-32,M. Ibrahim,IND,,,,,4917,,1977
181,181,Tribal-Area-VI,NA-32,M. Anwar,IND,,,,,4917,,1977
182,182,Tribal-Area-VI,NA-32,M. Yaqub Khan,IND,,,,,4917,,1977
183,183,Tribal-Area-VI,NA-32,Noor M. Khan,IND,,,,,4917,,1977
184,184,Tribal-Area-VI,NA-32,Yar Mullah Khan,IND,,,,,4917,,1977
185,185,Tribal-Area-VII,NA-33,Haji Gul Sher,IND,1116,,,,2373,,1977
186,186,Tribal-Area-VII,NA-33,Haji Nawab Khan,IND,783,,,,2373,,1977
187,187,Tribal-Area-VII,NA-33,Samar Gul,IND,,,,,2373,,1977
188,188,Tribal-Area-VII,NA-33,Jamadar Anwar Jan,IND,,,,,2373,,1977
189,189,Tribal-Area-VII,NA-33,Haji Arsala Khan,IND,,,,,2373,,1977
190,190,Tribal-Area-VII,NA-33,Haji Jan Khan,IND,,,,,2373,,1977
191,191,Tribal-Area-VII,NA-33,Haji Gula Khan,IND,,,,,2373,,1977
192,192,Tribal-Area-VII,NA-33,Haji Gul Shah,IND,,,,,2373,,1977
193,193,Tribal-Area-VII,NA-33,Alhaj Khayali Khan,IND,,,,,2373,,1977
194,194,Tribal-Area-VII,NA-33,Habibullah Khan,IND,,,,,2373,,1977
195,195,Tribal-Area-VII,NA-33,Hazrat Hussain,IND,,,,,2373,,1977
196,196,Tribal-Area-VII,NA-33,Khial Badshah,IND,,,,,2373,,1977
197,197,Tribal-Area-VII,NA-33,Ziarat Shah,IND,,,,,2373,,1977
198,198,Tribal-Area-VII,NA-33,Said Ahmad,IND,,,,,2373,,1977
199,199,Tribal-Area-VII,NA-33,Said Akbar,IND,,,,,2373,,1977
200,200,Tribal-Area-VII,NA-33,Shakirullah,IND,,,,,2373,,1977
201,201,Tribal-Area-VII,NA-33,Shahmdar,IND,,,,,2373,,1977
202,202,Tribal-Area-VII,NA-33,Shah Alam Khan,IND,,,,,2373,,1977
203,203,Tribal-Area-VII,NA-33,Sharif Khan,IND,,,,,2373,,1977
204,204,Tribal-Area-VII,NA-33,Abdul Qayoom,IND,,,,,2373,,1977
205,205,Tribal-Area-VII,NA-33,Gul Islam,IND,,,,,2373,,1977
206,206,Tribal-Area-VII,NA-33,Gul Rahman,IND,,,,,2373,,1977
207,207,Tribal-Area-VII,NA-33,M. Hashim Khan,IND,,,,,2373,,1977
208,208,Tribal-Area-VII,NA-33,Malikzada Jehanzeb,IND,,,,,2373,,1977
209,209,Tribal-Area-VII,NA-33,Malikzada M. Akbar,IND,,,,,2373,,1977
210,210,Tribal-Area-VII,NA-33,Malikzada Younas Khan,IND,,,,,2373,,1977
211,211,Tribal-Area-VII,NA-33,Malik Waris Khan,IND,,,,,2373,,1977
212,212,Tribal-Area-VII,NA-33,Malik Wali Khan,IND,,,,,2373,,1977
213,213,Tribal-Area-VII,NA-33,Malik Hudustan,IND,,,,,2373,,1977
214,214,Tribal-Area-VIII,NA-34,Nur Sher Khan,IND,792,,,,1308,,1977
215,215,Tribal-Area-VIII,NA-34,,IND,196,,,,1308,,1977
216,216,Tribal-Area-VIII,NA-34,,IND,188,,,,1308,,1977
217,217,Tribal-Area-VIII,NA-34,,IND,,,,,1308,,1977
218,218,Tribal-Area-VIII,NA-34,,IND,,,,,1308,,1977
219,219,Federal-Capital,NA-35,Zahur Ahmed,PPPP,43794,66059,2188,68247,106970,0.638,1977
220,220,Federal-Capital,NA-35,Ghafoor Ahmad ,PNA,22265,66059,2188,68247,106970,0.638,1977
221,221,Federal-Capital,NA-35,M. Sakhi Butt,IND,,66059,2188,68247,106970,0.638,1977
222,222,Rawalpindi-I,NA-36,Co. (Retd) Habib Khan,PPPP,54551,104881,3396,108277,194393,0.557,1977
223,223,Rawalpindi-I,NA-36,Zafar-ul-Haq ,PNA,49023,104881,3396,108277,194393,0.557,1977
224,224,Rawalpindi-I,NA-36,"M. Ibrahim, Adv.",IND,1054,104881,3396,108277,194393,0.557,1977
225,225,Rawalpindi-I,NA-36,Maj. (R) M. Sadiq,IND,253,104881,3396,108277,194393,0.557,1977
226,226,Rawalpindi-I,NA-36,Mahmood Ahmad ,IND,,104881,3396,108277,194393,0.557,1977
227,227,Rawalpindi-II,NA-37,Abdul Aziz Bhatti,PPPP,68463,111258,3599,114857,172978,0.664,1977
228,228,Rawalpindi-II,NA-37,Malik Mehboob Hussain ,IND,28438,111258,3599,114857,172978,0.664,1977
229,229,Rawalpindi-II,NA-37,Mirza Khaliq Hussain ,PNA,14357,111258,3599,114857,172978,0.664,1977
230,230,Rawalpindi-III,NA-38,Ayed Ali Asghar Shah,PPPP,50579,90919,3047,93966,139831,0.672,1977
231,231,Rawalpindi-III,NA-38,Air Marshal (R) Asghar Khan ,PNA,39981,90919,3047,93966,139831,0.672,1977
232,232,Rawalpindi-III,NA-38,Ghulam Mustafa Gilani ,PML (Q),359,90919,3047,93966,139831,0.672,1977
233,233,Rawalpindi-IV,NA-39,Nazar Hussain Kiani,PPPP,58065,,,,160701,,1977
234,234,Rawalpindi-IV,NA-39,Fateh Muhammad ,PNA,37347,,,,160701,,1977
235,235,Rawalpindi-IV,NA-39,Dr. M. A. Bakhat ,PML (Q),,,,,160701,,1977
236,236,Rawalpindi-V,NA-40,Abdul Qayyum Butt,PPPP,64807,,,,166391,,1977
237,237,Rawalpindi-V,NA-40,Tassaduq Hussain,PNA,34100,,,,166391,,1977
238,238,Rawalpindi-V,NA-40,Khan Ghulam Mustafa Khan,IND,  ,,,,166391,,1977
239,239,Rawalpindi-V,NA-40,Sh. Kamran Haider Jilani,PML (Q),  ,,,,166391,,1977
240,240,Rawalpindi-V,NA-40,M. Ashraf,IND,  ,,,,166391,,1977
241,241,Campbellpur-I,NA-41,Ahmed Waheed Akhtar,PPPP,48898,75019,2427,77446,148648,0.521,1977
242,242,Campbellpur-I,NA-41,Sh. M. Afzal ,PNA,26121,75019,2427,77446,148648,0.521,1977
243,243,Campbellpur-II,NA-42,Sardar Shaukat Hayat,PPPP,90136,111536,3631,115167,171380,0.672,1977
244,244,Campbellpur-II,NA-42,Zahid Hussain Shah ,PNA,21400,111536,3631,115167,171380,0.672,1977
245,245,Campbellpur-III,NA-43,(Pir) Syed Safi-ud-din,PPPP,71173,102969,3409,106378,172691,0.616,1977
246,246,Campbellpur-III,NA-43,Abdul Rahman,PNA,27073,102969,3409,106378,172691,0.616,1977
247,247,Campbellpur-III,NA-43,Fateh Khan,IND,4723,102969,3409,106378,172691,0.616,1977
248,248,Jehlum-I,NA-44,Dr. Ghulam Hussain,PPPP,69755,105922,3561,109483,170801,0.641,1977
249,249,Jehlum-I,NA-44,Ch. Abdul Malik ,PNA,35002,105922,3561,109483,170801,0.641,1977
250,250,Jehlum-I,NA-44,Capt. (R) Mahmood ,IND,122,105922,3561,109483,170801,0.641,1977
251,251,Jehlum-I,NA-44,Rehmat Ali ,IND,1043,105922,3561,109483,170801,0.641,1977
252,252,Jhelum-II,NA-45,Sardar Khizar Hayat Khan,PPPP,78230,114881,3706,118587,191269,0.62,1977
253,253,Jhelum-II,NA-45,Mushtaq Ahmad,PNA,31445,114881,3706,118587,191269,0.62,1977
254,254,Jhelum-II,NA-45,Naib Subedar Ahmad Khan,TI,5206,114881,3706,118587,191269,0.62,1977
255,255,Jhelum-III,NA-46,Masood-ul-Hassan Bhatti,PPPP,74856,,,,170349,,1977
256,256,Jhelum-III,NA-46,Molvi M. Akram ,PNA,18515,,,,170349,,1977
257,257,Jhelum-III,NA-46,Sultan Khizar Hayat ,IND,,,,,170349,,1977
258,258,Jhelum-III,NA-46,Raja Munawar Ahmed ,IND,,,,,170349,,1977
259,259,Jhelum-III,NA-46,M. Anwar Khan ,IND,,,,,170349,,1977
260,260,Gujrat-I,NA-47,Zafar Mehdi,PPPP,91672,119738,3985,123723,164745,0.751,1977
261,261,Gujrat-I,NA-47,Ch. Zahoor Illahi ,PNA,28066,119738,3985,123723,164745,0.751,1977
262,262,Gujrat-I,NA-47,Ch. Shujat Hussain ,IND,,119738,3985,123723,164745,0.751,1977
263,263,Gujrat-I,NA-47,"M. Nawaz, Adv",IND,,119738,3985,123723,164745,0.751,1977
264,264,Gujrat-II,NA-48,Mian Mushtaq Hussain Pagganwala,PPPP,72276,,,,167197,,1977
265,265,Gujrat-II,NA-48,Ch. Zahoor Illahi ,PNA,39326,,,,167197,,1977
266,266,Gujrat-II,NA-48,Mushtaq Ahmad Butt ,PML (Q),,,,,167197,,1977
267,267,Gujrat-II,NA-48,Ch. M. Sarwar Jaura ,IND,,,,,167197,,1977
268,268,Gujrat-II,NA-48,Ch. Shujat Hussain ,IND,,,,,167197,,1977
269,269,Gujrat-II,NA-48,Seth M. Ashraf ,IND,,,,,167197,,1977
270,270,Gujrat-II,NA-48,Sahabzada Syed Mahmood Shah ,IND,,,,,167197,,1977
271,271,Gujrat-II,NA-48,Ch. M. Arshad ,IND,,,,,167197,,1977
272,272,Gujrat-III,NA-49,Ata Elahi Chaudhry,PPPP,68222,105945,3573,109518,161531,0.678,1977
273,273,Gujrat-III,NA-49,M. Akram ,PNA,35753,105945,3573,109518,161531,0.678,1977
274,274,Gujrat-III,NA-49,Mian Ghulam Ahmad ,IND,1092,105945,3573,109518,161531,0.678,1977
275,275,Gujrat-III,NA-49,Naik Alam ,IND,878,105945,3573,109518,161531,0.678,1977
276,276,Gujrat-IV,NA-50,Mohammad Sardar Khan,PPPP,69993,102785,3390,106175,172362,0.616,1977
277,277,Gujrat-IV,NA-50,Raja M. Afzal ,PNA,32116,102785,3390,106175,172362,0.616,1977
278,278,Gujrat-IV,NA-50,M. Fayyaz Ch,IND,676,102785,3390,106175,172362,0.616,1977
279,279,Gujrat-V,NA-51,Ch. Ghulam Rasul,PPPP,58248,,,,173390,,1977
